SELECTOR;POBLACION;PROB CRUCE;PROB MUTAC;Caso-A1;Caso-A2;Caso-A3;Caso-A4;Caso-A5;Especial;;Tiempo C1;Tiempo C2;Tiempo C3;Tiempo C4;Tiempo C5;Tiempo Especial
GARouletteWheelSelector;150;0,95;0,05;0;1;0;1;0;1;;0,4023120403289795;12,19266128540039;7,682287931442261;12,571867227554321;0,42217159271240234;12,506600618362427;
GARouletteWheelSelector;150;0,95;0,1;2;1;1;0;0;3;;13,409824848175049;13,331267833709717;13,06550669670105;8,876741409301758;6,7451183795928955;13,862913370132446;
GARouletteWheelSelector;150;0,95;0,125;2;4;3;1;0;6;;13,957793235778809;13,530348062515259;13,654201745986938;14,010521411895752;0,4688282012939453;14,433703899383545;
GARouletteWheelSelector;150;0,95;0,15;0;1;4;0;0;4;;5,561880588531494;14,359601259231567;14,322071075439453;0,6658813953399658;1,0995032787322998;14,998255491256714;
GATournamentSelector;100;0,8;0,01;5;4;5;5;3;3;;6,778637647628784;6,466416597366333;6,481343030929565;6,747667074203491;7,1376261711120605;6,869770288467407;
GATournamentSelector;100;0,8;0,05;0;0;0;0;0;1;;2,5916082859039307;6,195669412612915;0,23688840866088867;0,28249287605285645;0,5239167213439941;7,953181982040405;
GATournamentSelector;100;0,8;0,1;0;0;0;0;0;2;;0,39586949348449707;2,037309408187866;2,2630293369293213;0,380420446395874;0,45496559143066406;8,914324283599854;
GATournamentSelector;100;0,8;0,125;0;0;0;0;0;4;;0,33768534660339355;0,3733487129211426;1,216036319732666;0,3662450313568115;0,25093793869018555;9,74997353553772;
GATournamentSelector;100;0,8;0,15;0;0;0;0;0;3;;0,4380831718444824;0,23249053955078125;0,6039750576019287;0,8705265522003174;0,25417590141296387;9,849687099456787;
GATournamentSelector;100;0,85;0,01;5;3;2;2;3;6;;7,1801605224609375;6,8418989181518555;6,831241130828857;6,813274145126343;6,6570117473602295;6,870692729949951;
GATournamentSelector;100;0,85;0,05;3;0;0;0;0;3;;7,906305551528931;0,39731645584106445;0,33948254585266113;0,39105701446533203;3,9213383197784424;8,067031860351562;
GATournamentSelector;100;0,85;0,1;0;0;0;0;0;3;;0,24134063720703125;7,533560276031494;0,349151611328125;0,17886877059936523;0,283001184463501;8,924853801727295;
GATournamentSelector;100;0,85;0,125;0;0;0;0;0;2;;0,3972897529602051;1,7568895816802979;3,365734338760376;1,2333984375;0,17546916007995605;9,526069164276123;
GATournamentSelector;100;0,85;0,15;0;0;0;0;0;2;;0,3883240222930908;0,6963913440704346;4,477773427963257;1,0249619483947754;0,3253912925720215;9,82565689086914;
GATournamentSelector;100;0,9;0,01;3;7;8;2;2;4;;7,145868539810181;6,879137754440308;7,005004405975342;6,908426761627197;6,660825967788696;7,299721717834473;
GATournamentSelector;100;0,9;0,05;0;1;0;0;0;4;;0,8187601566314697;7,768083572387695;0,24139165878295898;5,093315601348877;0,2886650562286377;7,807734727859497;
GATournamentSelector;100;0,9;0,1;0;0;0;0;0;3;;0,34824347496032715;5,095136880874634;1,9763994216918945;0,24547815322875977;0,2555084228515625;9,020699739456177;
GATournamentSelector;100;0,9;0,125;0;1;0;0;0;3;;0,3964672088623047;9,1200270652771;0,3600625991821289;0,6879050731658936;0,5931656360626221;9,3746337890625;
GATournamentSelector;100;0,9;0,15;0;0;0;0;0;2;;0,9906888008117676;2,007502794265747;1,5930984020233154;3,271334409713745;0,4060642719268799;9,998919010162354;
GATournamentSelector;100;0,95;0,01;5;5;0;0;4;8;;7,271003484725952;7,1523802280426025;1,2681689262390137;7,639271974563599;7,129652976989746;7,318779230117798;
GATournamentSelector;100;0,95;0,05;0;0;0;0;0;1;;0,918623685836792;0,7680425643920898;0,32132506370544434;0,283353328704834;0,29029345512390137;8,119827508926392;
GATournamentSelector;100;0,95;0,1;0;0;0;0;0;2;;0,24100780487060547;0,21020030975341797;0,22795867919921875;0,5062339305877686;0,5509936809539795;9,128888845443726;
GATournamentSelector;100;0,95;0,125;0;0;0;0;0;4;;1,3630807399749756;2,272109031677246;0,25621914863586426;1,1243691444396973;0,27351880073547363;9,878314018249512;
GATournamentSelector;100;0,95;0,15;0;0;0;0;0;0;;1,935884714126587;6,341111898422241;0,4430665969848633;0,36394572257995605;0,4187190532684326;3,502210855484009;
GATournamentSelector;150;0,8;0,01;2;1;0;6;4;3;;10,619909524917603;10,148845195770264;0,5407388210296631;10,18662142753601;10,168224334716797;10,421625137329102;
GATournamentSelector;150;0,8;0,05;0;1;1;0;0;3;;1,7034952640533447;11,525466680526733;11,696824312210083;0,4541027545928955;3,8235464096069336;11,794443368911743;
GATournamentSelector;150;0,8;0,1;0;0;0;0;0;4;;0,28020453453063965;0,23476552963256836;1,4590611457824707;0,29048871994018555;0,25142693519592285;13,546812295913696;
GATournamentSelector;150;0,8;0,125;0;0;0;0;0;3;;0,2901303768157959;3,9649040699005127;0,26376867294311523;0,36856818199157715;1,048147201538086;14,368813753128052;
GATournamentSelector;150;0,8;0,15;0;0;0;0;0;2;;1,1783416271209717;0,8216376304626465;0,35984349250793457;0,5936446189880371;0,45784425735473633;14,926918268203735;
GATournamentSelector;150;0,85;0,01;0;1;1;6;5;2;;0,25831055641174316;10,094115495681763;10,36130142211914;10,650028228759766;10,172762393951416;10,206163167953491;
GATournamentSelector;150;0,85;0,05;0;1;0;0;0;1;;0,21699285507202148;11,441014051437378;0,301607608795166;0,2621800899505615;3,9697890281677246;11,75529932975769;
GATournamentSelector;150;0,85;0,1;0;0;0;0;0;0;;1,8687570095062256;0,2822294235229492;0,21942567825317383;0,3988826274871826;0,36035943031311035;0,38447093963623047;
GATournamentSelector;150;0,85;0,125;0;0;0;0;0;3;;0,22979211807250977;0,9382586479187012;0,24641895294189453;0,24473309516906738;0,262784481048584;14,321617364883423;
GATournamentSelector;150;0,85;0,15;0;0;0;0;0;3;;3,6451120376586914;4,273271799087524;0,42340946197509766;0,4166133403778076;0,38500046730041504;14,827590942382812;
GATournamentSelector;150;0,9;0,01;3;4;0;0;0;5;;10,438392162322998;10,362014532089233;0,3483126163482666;0,506187915802002;0,21013545989990234;10,493448495864868;
GATournamentSelector;150;0,9;0,05;0;3;0;0;0;2;;0,25709009170532227;11,406802892684937;0,20368170738220215;0,5446567535400391;0,693779706954956;11,894206523895264;
GATournamentSelector;150;0,9;0,1;0;0;0;0;0;2;;0,24272608757019043;2,459527015686035;0,298403263092041;0,3188512325286865;0,1715545654296875;13,598318099975586;
GATournamentSelector;150;0,9;0,125;0;0;0;0;0;4;;0,4377305507659912;2,9400265216827393;0,217606782913208;0,29268622398376465;0,44063663482666016;14,413248538970947;
GATournamentSelector;150;0,9;0,15;0;0;0;0;0;2;;0,5434439182281494;0,30228543281555176;0,32024216651916504;0,35617852210998535;0,1981043815612793;14,73597502708435;
GATournamentSelector;150;0,95;0,01;2;6;7;2;3;3;;10,934318780899048;10,842944622039795;10,966867208480835;10,817596435546875;10,779295206069946;11,090955972671509;
GATournamentSelector;150;0,95;0,05;0;0;1;2;0;1;;0,2395031452178955;0,2664451599121094;11,852208852767944;11,895705938339233;0,5048608779907227;12,07984471321106;
GATournamentSelector;150;0,95;0,1;0;0;0;0;0;2;;0,17658495903015137;0,2621610164642334;0,3584294319152832;0,4615507125854492;0,23580288887023926;13,77358078956604;
GATournamentSelector;150;0,95;0,125;0;0;0;0;0;0;;0,3743753433227539;0,45278310775756836;2,1465861797332764;0,3890259265899658;0,37168264389038086;8,171082258224487;
GATournamentSelector;150;0,95;0,15;0;0;0;0;0;3;;0,7747993469238281;1,867168664932251;0,379061222076416;0,5440242290496826;0,21811151504516602;15,77243447303772;
