SELECTOR;POBLACION;PROB CRUCE;PROB MUTAC;C1;C2;C3;C4;C5;Especial;;Tiempo C1;Tiempo C2;Tiempo C3;Tiempo C4;Tiempo C5;Tiempo Especial
GATournamentSelector;100;0,9;0,1;0;0;0;0;0;3;;0,11;4,05;1,32;0,05;0,03;7,29;
GATournamentSelector;100;0,9;0,125;0;1;0;0;0;3;;0,07;7,32;0,16;0,46;0,27;7,69;
GATournamentSelector;100;0,9;0,15;0;0;0;0;0;2;;0,65;1,48;1,14;2,60;0,20;7,96;
GATournamentSelector;100;0,95;0,01;5;5;0;0;4;8;;5,60;5,47;0,83;5,13;5,41;5,63;
GATournamentSelector;100;0,95;0,05;0;0;0;0;0;1;;0,44;0,37;0,01;0,07;0,02;6,24;
GATournamentSelector;100;0,95;0,1;0;0;0;0;0;2;;0,02;0,04;0,03;0,28;0,02;7,23;
GATournamentSelector;100;0,95;0,125;0;0;0;0;0;4;;0,91;3,40;0,04;0,75;0,03;7,78;
GATournamentSelector;100;0,95;0,15;0;0;0;0;0;0;;1,29;1,47;0,10;0,09;0,05;2,46;
GATournamentSelector;150;0,8;0,01;2;1;0;6;4;3;;7,79;7,68;0,19;7,85;7,74;7,88;
GATournamentSelector;150;0,8;0,05;0;1;1;0;0;3;;1,11;9,10;8,96;0,15;1,69;9,36;
GATournamentSelector;150;0,8;0,1;0;0;0;0;0;3;;0,08;0,03;0,95;0,15;0,06;11,03;
GATournamentSelector;150;0,8;0,125;0;0;0;0;0;3;;0,08;3,09;0,03;0,08;0,61;11,59;
GATournamentSelector;150;0,8;0,15;0;0;0;0;0;4;;0,85;0,59;0,13;0,34;0,21;12,03;
GATournamentSelector;150;0,85;0,01;0;1;1;6;5;2;;0,04;7,75;7,84;8,03;7,91;8,09;
GATournamentSelector;150;0,85;0,05;0;1;0;0;0;1;;0,04;8,97;0,11;0,04;0,73;9,37;
GATournamentSelector;150;0,85;0,1;0;0;0;0;0;0;;0,06;0,06;0,03;0,24;0,12;0,20;
GATournamentSelector;150;0,85;0,125;0;0;0;0;0;2;;0,06;0,65;0,08;0,09;0,06;11,65;
GATournamentSelector;150;0,85;0,15;0;1;0;0;0;3;;2,88;11,60;0,24;0,22;0,20;12,24;
GATournamentSelector;150;0,9;0,01;3;4;0;0;0;5;;8,25;8,00;0,14;0,15;0,05;8,31;
GATournamentSelector;150;0,9;0,05;0;3;0;0;0;2;;0,07;9,18;0,04;0,34;0,41;9,69;
GATournamentSelector;150;0,9;0,1;0;0;0;0;0;2;;0,07;1,88;0,08;0,05;0,03;11,03;
GATournamentSelector;150;0,9;0,125;0;0;0;0;0;4;;0,23;2,26;0,06;0,10;0,66;11,81;
GATournamentSelector;150;0,9;0,15;0;0;0;0;0;2;;0,29;0,08;0,10;0,15;0,06;12,26;
GATournamentSelector;150;0,95;0,01;2;6;7;2;3;3;;8,27;8,19;8,28;8,18;8,53;8,58;
GATournamentSelector;150;0,95;0,05;0;0;1;2;0;1;;0,04;0,07;9,29;9,20;0,22;9,44;
GATournamentSelector;150;0,95;0,1;0;0;0;0;0;2;;0,04;0,07;0,13;0,22;0,03;10,76;
GATournamentSelector;150;0,95;0,125;0;0;0;0;0;0;;0,12;0,19;2,16;0,19;0,13;6,42;
GATournamentSelector;150;0,95;0,15;0;0;0;0;0;3;;0,49;1,34;0,13;0,31;0,06;12,50;
